date,open,close,high,low,volume,amount
20180918 11:29:00,9.85,9.84,9.86,9.84,48400,476756
20180918 13:00:00,9.84,9.83,9.84,9.82,262500,2581957.25
20180918 13:01:00,9.82,9.84,9.84,9.82,34100,335480.03125
20180918 13:02:00,9.83,9.83,9.84,9.83,288200,2833034.25
20180918 13:03:00,9.83,9.83,9.84,9.82,87600,861076
20180918 13:04:00,9.82,9.82,9.84,9.82,108800,1069498.125
20180918 13:05:00,9.84,9.84,9.84,9.82,117900,1159924
20180918 13:06:00,9.84,9.84,9.85,9.83,82600,812942.0625
20180918 13:07:00,9.84,9.84,9.84,9.83,19000,186933
20180918 13:08:00,9.84,9.84,9.84,9.83,46900,461437.03125
20180918 13:09:00,9.83,9.84,9.84,9.83,33800,332462.03125
20180918 13:10:00,9.83,9.84,9.84,9.83,61900,608856.0625
20180918 13:11:00,9.84,9.84,9.84,9.83,35800,352167
20180918 13:12:00,9.83,9.83,9.84,9.83,83200,818514
20180918 13:13:00,9.83,9.85,9.85,9.83,132500,1303268
20180918 13:14:00,9.85,9.85,9.85,9.84,45200,445219.03125
20180918 13:15:00,9.85,9.84,9.85,9.84,47500,467777
20180918 13:16:00,9.84,9.85,9.86,9.84,196000,1932172.125
20180918 13:17:00,9.85,9.85,9.85,9.84,33400,328914
20180918 13:18:00,9.85,9.85,9.85,9.84,107700,1060780
20180918 13:19:00,9.84,9.85,9.85,9.84,34700,341742.03125
20180918 13:20:00,9.85,9.85,9.85,9.84,54100,532532.0625
20180918 13:21:00,9.85,9.85,9.85,9.84,154400,1520799.125
20180918 13:22:00,9.85,9.85,9.86,9.84,100000,985017
20180918 13:23:00,9.85,9.85,9.85,9.85,75700,745645.0625
20180918 13:24:00,9.85,9.83,9.85,9.83,101400,998129.0625
20180918 13:25:00,9.84,9.85,9.86,9.83,139100,1369994
20180918 13:26:00,9.85,9.85,9.86,9.85,284000,2797962.25
20180918 13:27:00,9.85,9.85,9.86,9.84,285500,2812274
20180918 13:28:00,9.85,9.85,9.85,9.84,131500,1295186
20180918 13:29:00,9.85,9.85,9.85,9.85,17900,176315.015625
20180918 13:30:00,9.85,9.85,9.86,9.85,284300,2800408
20180918 13:31:00,9.85,9.85,9.85,9.84,74100,729657.0625
20180918 13:32:00,9.85,9.85,9.86,9.84,142000,1399366.125
20180918 13:33:00,9.85,9.86,9.86,9.85,218000,2148739.25
20180918 13:34:00,9.86,9.87,9.87,9.85,306000,3019196.25
20180918 13:35:00,9.87,9.88,9.88,9.86,81700,806577
20180918 13:36:00,9.87,9.88,9.88,9.87,105000,1036798.0625
20180918 13:37:00,9.88,9.95,9.95,9.88,3127200,31032006
20180918 13:38:00,9.93,9.93,9.96,9.93,1438200,14315317
20180918 13:39:00,9.92,9.94,9.95,9.92,534600,5312467.5
20180918 13:40:00,9.94,10.03,10.03,9.94,4450300,44420360
20180918 13:41:00,10.02,9.98,10.02,9.98,1360100,13608705
20180918 13:42:00,9.98,10,10,9.98,1008500,10077405
20180918 13:43:00,10,10.01,10.01,10,1166700,11674176
20180918 13:44:00,10,9.97,10.01,9.97,1836600,18352774
20180918 13:45:00,9.97,9.97,9.99,9.97,745600,7439094
20180918 13:46:00,9.98,9.99,9.99,9.97,645400,6440609
20180918 13:47:00,9.98,9.96,9.99,9.96,272700,2719959
20180918 13:48:00,9.96,9.99,9.99,9.96,652400,6507874
20180918 13:49:00,9.99,9.99,9.99,9.98,862900,8618593
20180918 13:50:00,9.99,10.01,10.01,9.98,2818800,28172368
20180918 13:51:00,10.02,10,10.03,9.99,1616000,16192917
20180918 13:52:00,10,10.01,10.01,9.99,834300,8343362
20180918 13:53:00,10,10.01,10.02,10,572100,5726693
20180918 13:54:00,10.01,10.02,10.02,10,963800,9652057
20180918 13:55:00,10.02,10.04,10.04,10.02,948100,9507164
20180918 13:56:00,10.04,10.03,10.05,10.03,730800,7337287
20180918 13:57:00,10.03,10.02,10.03,10.01,682100,6836509
20180918 13:58:00,10.01,10.02,10.03,10.01,447000,4479018.5
20180918 13:59:00,10.02,10.03,10.03,10.02,442700,4440012.5
20180918 14:00:00,10.02,10.02,10.03,10.01,412800,4136230
20180918 14:01:00,10.01,10.02,10.03,10.01,385300,3862008
20180918 14:02:00,10.04,10.04,10.05,10.03,1054500,10587721
20180918 14:03:00,10.04,10.04,10.05,10.04,588500,5909795
20180918 14:04:00,10.03,10.03,10.04,10.03,297100,2980894
20180918 14:05:00,10.04,10.05,10.05,10.03,494500,4961871.5
20180918 14:06:00,10.04,10.04,10.05,10.04,572900,5755243.5
20180918 14:07:00,10.04,10.04,10.05,10.04,340400,3417976.25
20180918 14:08:00,10.03,10.03,10.04,10.02,454400,4559479
20180918 14:09:00,10.03,10.03,10.04,10.03,273000,2739516
20180918 14:10:00,10.04,10.05,10.05,10.03,458300,4599985
20180918 14:11:00,10.04,10.05,10.05,10.04,610000,6126962.5
20180918 14:12:00,10.04,10.03,10.05,10.03,660200,6631381
20180918 14:13:00,10.03,10.03,10.05,10.03,520000,5222015.5
20180918 14:14:00,10.03,10.04,10.05,10.03,528900,5310116
20180918 14:15:00,10.04,10.05,10.05,10.04,611100,6138528.5
20180918 14:16:00,10.05,10.08,10.08,10.05,1761100,17728086
20180918 14:17:00,10.08,10.07,10.08,10.06,792200,7979868.5
20180918 14:18:00,10.07,10.06,10.08,10.06,426900,4298878.5
20180918 14:19:00,10.07,10.07,10.08,10.06,664100,6687155.5
20180918 14:20:00,10.07,10.07,10.08,10.06,513300,5169572.5
20180918 14:21:00,10.08,10.09,10.09,10.07,1988600,20048956
20180918 14:22:00,10.1,10.1,10.1,10.09,1335500,13482933
20180918 14:23:00,10.1,10.1,10.11,10.09,800000,8079781.5
20180918 14:24:00,10.09,10.1,10.11,10.09,1160100,11718605
20180918 14:25:00,10.1,10.11,10.11,10.1,434100,4386111
20180918 14:26:00,10.11,10.08,10.11,10.08,395700,3994202.25
20180918 14:27:00,10.08,10.07,10.08,10.06,284700,2866735.25
20180918 14:28:00,10.07,10.09,10.1,10.07,781200,7877378.5
20180918 14:29:00,10.1,10.1,10.1,10.09,635200,6413452.5
20180918 14:30:00,10.09,10.1,10.11,10.09,643800,6501551
20180918 14:31:00,10.1,10.09,10.11,10.09,247600,2500582.25
20180918 14:32:00,10.09,10.09,10.1,10.09,647800,6541341.5
20180918 14:33:00,10.1,10.08,10.1,10.08,202400,2042457
20180918 14:34:00,10.08,10.09,10.09,10.08,546900,5514596
20180918 14:35:00,10.09,10.09,10.1,10.08,388800,3922739.25
20180918 14:36:00,10.09,10.09,10.09,10.08,191700,1933481.125
20180918 14:37:00,10.09,10.09,10.1,10.08,301600,3042955
20180918 14:38:00,10.09,10.09,10.1,10.09,215600,2175806
20180918 14:39:00,10.1,10.09,10.1,10.08,429500,4332478
20180918 14:40:00,10.08,10.07,10.09,10.07,620500,6253999
20180918 14:41:00,10.07,10.08,10.08,10.07,659600,6645618
20180918 14:42:00,10.08,10.07,10.08,10.07,417600,4206965
20180918 14:43:00,10.07,10.07,10.08,10.07,328300,3307756
20180918 14:44:00,10.07,10.07,10.08,10.06,719300,7241283.5
20180918 14:45:00,10.06,10.07,10.07,10.05,772700,7771343
20180918 14:46:00,10.06,10.07,10.08,10.06,437100,4399812.5
20180918 14:47:00,10.07,10.07,10.08,10.07,231200,2328664.25
20180918 14:48:00,10.07,10.08,10.08,10.07,290500,2926088.25
20180918 14:49:00,10.08,10.07,10.08,10.07,368300,3709892
20180918 14:50:00,10.07,10.07,10.08,10.07,772800,7783329.5
20180918 14:51:00,10.08,10.07,10.08,10.07,356400,3589504.25
20180918 14:52:00,10.08,10.08,10.09,10.07,857700,8641316
20180918 14:53:00,10.08,10.08,10.09,10.07,348000,3507295
20180918 14:54:00,10.08,10.08,10.09,10.07,658900,6643831.5
20180918 14:55:00,10.08,10.08,10.09,10.08,434500,4380422
20180918 14:56:00,10.06,10.07,10.07,10.05,746600,7513226.5
20180918 14:57:00,10.07,10.07,10.07,10.07,8300,83581.007812
20180918 14:58:00,10.07,10.07,10.07,10.07,0,0
20180918 14:59:00,10.08,10.08,10.08,10.08,783700,7899696.5
20180919 09:30:00,10.03,10.05,10.06,10.03,1749800,17566130
20180919 09:31:00,10.05,10.05,10.07,10.05,1001400,10071803
20180919 09:32:00,10.06,10.07,10.07,10.05,851400,8570587
20180919 09:33:00,10.06,10.06,10.08,10.06,600500,6047097
20180919 09:34:00,10.08,10.11,10.11,10.07,1341000,13531262
20180919 09:35:00,10.12,10.13,10.14,10.11,1773000,17934180
20180919 09:36:00,10.13,10.11,10.14,10.11,1046400,10588486
20180919 09:37:00,10.11,10.14,10.14,10.11,1651200,16729995
20180919 09:38:00,10.14,10.12,10.14,10.12,1550100,15709165
20180919 09:39:00,10.12,10.11,10.13,10.11,1424900,14423354
20180919 09:40:00,10.11,10.12,10.12,10.11,952300,9632912
20180919 09:41:00,10.12,10.11,10.12,10.11,1152600,11658946
20180919 09:42:00,10.12,10.12,10.13,10.11,456600,4620013
20180919 09:43:00,10.12,10.12,10.13,10.11,483500,4893410.5
20180919 09:44:00,10.11,10.12,10.13,10.11,636900,6443698.5
20180919 09:45:00,10.12,10.11,10.12,10.1,486600,4920191.5
20180919 09:46:00,10.1,10.12,10.12,10.1,441300,4463201
20180919 09:47:00,10.11,10.14,10.14,10.11,1041400,10542441
20180919 09:48:00,10.14,10.13,10.14,10.12,867700,8795289
20180919 09:49:00,10.13,10.13,10.14,10.12,1017900,10314034
20180919 09:50:00,10.13,10.11,10.13,10.11,687800,6961559
20180919 09:51:00,10.11,10.1,10.12,10.1,705300,7127715
20180919 09:52:00,10.1,10.1,10.1,10.08,888700,8972526
20180919 09:53:00,10.09,10.07,10.09,10.07,697400,7031893.5
20180919 09:54:00,10.08,10.08,10.08,10.07,419600,4226020.5
20180919 09:55:00,10.07,10.07,10.08,10.07,237100,2387853.25
20180919 09:56:00,10.07,10.07,10.08,10.06,1051200,10585042
20180919 09:57:00,10.07,10.08,10.09,10.07,394400,3977040.25
20180919 09:58:00,10.09,10.07,10.09,10.07,336300,3389977
20180919 09:59:00,10.07,10.07,10.08,10.07,212900,2144696.25
20180919 10:00:00,10.07,10.05,10.08,10.05,526000,5294268.5
20180919 10:01:00,10.05,10.05,10.06,10.05,299600,3011276.25
20180919 10:02:00,10.06,10.04,10.06,10.04,431900,4340067.5
20180919 10:03:00,10.04,10.07,10.07,10.04,407200,4094442.25
20180919 10:04:00,10.06,10.07,10.07,10.06,293400,2952027.25
20180919 10:05:00,10.07,10.05,10.07,10.05,588400,5919878.5
20180919 10:06:00,10.05,10.06,10.07,10.05,274300,2759704
20180919 10:07:00,10.06,10.07,10.08,10.05,371900,3741773
20180919 10:08:00,10.08,10.08,10.1,10.07,668200,6737489.5
20180919 10:09:00,10.07,10.09,10.1,10.07,519500,5243729.5
20180919 10:10:00,10.08,10.1,10.11,10.08,387800,3915687.25
20180919 10:11:00,10.1,10.11,10.11,10.1,490600,4959415
20180919 10:12:00,10.11,10.12,10.12,10.11,335800,3397962.25
20180919 10:13:00,10.12,10.13,10.13,10.11,493900,4999389.5
20180919 10:14:00,10.12,10.13,10.13,10.12,738200,7475164
20180919 10:15:00,10.13,10.12,10.13,10.12,598300,6058898
20180919 10:16:00,10.13,10.15,10.15,10.13,1775900,18013920
20180919 10:17:00,10.15,10.18,10.19,10.15,2021700,20559138
20180919 10:18:00,10.19,10.23,10.23,10.19,2309200,23570936
20180919 10:19:00,10.22,10.21,10.24,10.2,1077000,11009408
20180919 10:20:00,10.2,10.2,10.21,10.2,865800,8832888
20180919 10:21:00,10.2,10.19,10.2,10.19,530000,5404997
20180919 10:22:00,10.2,10.21,10.22,10.19,641700,6547826.5
20180919 10:23:00,10.22,10.22,10.22,10.22,691900,7071218
20180919 10:24:00,10.23,10.22,10.23,10.22,836800,8555024
20180919 10:25:00,10.22,10.23,10.23,10.2,819700,8378888
20180919 10:26:00,10.21,10.22,10.23,10.21,522000,5336193.5
20180919 10:27:00,10.23,10.25,10.25,10.22,1400000,14336004
20180919 10:28:00,10.25,10.24,10.25,10.23,408100,4178995.25
20180919 10:29:00,10.23,10.22,10.24,10.22,289600,2963089.25
20180919 10:30:00,10.22,10.23,10.24,10.22,266100,2721925.25
20180919 10:31:00,10.23,10.26,10.26,10.23,916600,9392412
20180919 10:32:00,10.26,10.26,10.27,10.25,980200,10056779
20180919 10:33:00,10.26,10.25,10.27,10.25,649300,6660652
20180919 10:34:00,10.25,10.24,10.25,10.24,384700,3941732.25
20180919 10:35:00,10.24,10.24,10.26,10.24,637300,6529861
20180919 10:36:00,10.26,10.25,10.26,10.24,538900,5523957.5
20180919 10:37:00,10.25,10.24,10.25,10.24,662600,6788434.5
20180919 10:38:00,10.25,10.24,10.25,10.24,279800,2866101
20180919 10:39:00,10.23,10.24,10.24,10.23,644200,6592622.5
20180919 10:40:00,10.24,10.24,10.25,10.24,338800,3470952.25
20180919 10:41:00,10.24,10.22,10.24,10.22,465000,4758111
20180919 10:42:00,10.22,10.22,10.22,10.21,237600,2427681
20180919 10:43:00,10.22,10.24,10.24,10.22,532400,5444266.5
20180919 10:44:00,10.23,10.24,10.25,10.23,297300,3043372.25
20180919 10:45:00,10.24,10.23,10.24,10.22,299800,3067912
20180919 10:46:00,10.23,10.21,10.23,10.2,460300,4700286
20180919 10:47:00,10.21,10.21,10.21,10.2,297000,3031032.25
20180919 10:48:00,10.21,10.2,10.21,10.2,233800,2385789.25
20180919 10:49:00,10.2,10.19,10.2,10.19,248100,2529966.25
20180919 10:50:00,10.19,10.2,10.2,10.19,208000,2120598.25
20180919 10:51:00,10.2,10.19,10.2,10.19,282200,2876871.25
20180919 10:52:00,10.2,10.19,10.2,10.19,141800,1445576
20180919 10:53:00,10.2,10.19,10.2,10.19,58500,596618.0625
20180919 10:54:00,10.19,10.2,10.2,10.19,362600,3697893.25
20180919 10:55:00,10.2,10.21,10.21,10.2,119200,1216699.125
20180919 10:56:00,10.21,10.21,10.22,10.21,147600,1507137.125
20180919 10:57:00,10.2,10.22,10.22,10.2,120800,1233314
20180919 10:58:00,10.22,10.23,10.23,10.21,425600,4349610.5
20180919 10:59:00,10.23,10.22,10.23,10.22,180900,1849456.125
20180919 11:00:00,10.23,10.23,10.24,10.22,324600,3320672
20180919 11:01:00,10.23,10.24,10.24,10.23,269600,2759720
20180919 11:02:00,10.23,10.24,10.24,10.23,316000,3234963.25
20180919 11:03:00,10.24,10.25,10.25,10.24,296300,3035869.25
20180919 11:04:00,10.24,10.24,10.25,10.24,142100,1455871.125
20180919 11:05:00,10.25,10.24,10.25,10.24,458900,4700350
20180919 11:06:00,10.25,10.24,10.25,10.23,406500,4165177.25
20180919 11:07:00,10.25,10.25,10.25,10.23,493700,5054483.5
20180919 11:08:00,10.24,10.23,10.24,10.23,422200,4320205.5
20180919 11:09:00,10.23,10.21,10.24,10.21,541800,5539203.5
20180919 11:10:00,10.2,10.21,10.22,10.2,310400,3168246.25
20180919 11:11:00,10.21,10.23,10.23,10.21,141200,1441866
20180919 11:12:00,10.22,10.22,10.24,10.22,289800,2964679.25
20180919 11:13:00,10.23,10.22,10.23,10.22,84700,865739
20180919 11:14:00,10.23,10.21,10.23,10.21,451500,4615923
20180919 11:15:00,10.21,10.21,10.22,10.21,94100,960971
20180919 11:16:00,10.21,10.21,10.22,10.21,69200,706791.0625
20180919 11:17:00,10.21,10.21,10.22,10.21,147600,1507699
20180919 11:18:00,10.21,10.21,10.22,10.21,372300,3801450.25
