date,open,close,high,low,volume,amount
20150212 11:06:00,13.67,13.66,13.67,13.66,40300,550708
20150212 11:07:00,13.66,13.67,13.67,13.66,186200,2545304
20150212 11:08:00,13.67,13.68,13.68,13.66,75600,1033905
20150212 11:09:00,13.67,13.68,13.68,13.66,329100,4496157
20150212 11:10:00,13.69,13.7,13.7,13.68,224900,3079489
20150212 11:11:00,13.7,13.7,13.71,13.69,649000,8890065
20150212 11:12:00,13.7,13.71,13.71,13.7,344300,4719357
20150212 11:13:00,13.72,13.73,13.73,13.71,375100,5145826
20150212 11:14:00,13.73,13.73,13.73,13.72,138100,1896052
20150212 11:15:00,13.72,13.73,13.73,13.72,209800,2880112
20150212 11:16:00,13.73,13.74,13.74,13.73,85200,1170205
20150212 11:17:00,13.74,13.72,13.74,13.72,148500,2039043
20150212 11:18:00,13.73,13.74,13.74,13.72,183700,2521175
20150212 11:19:00,13.74,13.72,13.74,13.72,101600,1395283
20150212 11:20:00,13.73,13.73,13.74,13.73,178900,2457089
20150212 11:21:00,13.73,13.73,13.73,13.72,122800,1685635
20150212 11:22:00,13.73,13.73,13.73,13.72,95200,1306897
20150212 11:23:00,13.72,13.72,13.73,13.72,186900,2564571
20150212 11:24:00,13.72,13.72,13.73,13.72,168700,2315710
20150212 11:25:00,13.72,13.71,13.73,13.71,117000,1604925
20150212 11:26:00,13.72,13.71,13.72,13.71,137400,1884117
20150212 11:27:00,13.72,13.72,13.73,13.71,55800,765333
20150212 11:28:00,13.72,13.71,13.72,13.71,95300,1307280
20150212 12:59:00,13.71,13.73,13.74,13.71,524300,7196005
20150212 13:00:00,13.73,13.73,13.73,13.73,0,0
20150212 13:01:00,13.74,13.73,13.74,13.73,165000,2266540
20150212 13:02:00,13.73,13.74,13.74,13.72,103000,1414797
20150212 13:03:00,13.74,13.74,13.74,13.72,73300,1006565
20150212 13:04:00,13.72,13.73,13.74,13.72,136300,1872202
20150212 13:05:00,13.74,13.73,13.74,13.73,165000,2266001
20150212 13:06:00,13.73,13.73,13.74,13.73,350400,4812702
20150212 13:07:00,13.73,13.74,13.74,13.73,130300,1789852
20150212 13:08:00,13.74,13.74,13.74,13.73,135900,1866836
20150212 13:09:00,13.74,13.73,13.74,13.72,79400,1090182
20150212 13:10:00,13.73,13.73,13.74,13.73,225400,3094758.75
20150212 13:11:00,13.73,13.74,13.74,13.73,53800,738867
20150212 13:12:00,13.74,13.74,13.74,13.73,281800,3869867
